Identifier,Question,correctAnswer,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6
web301_q10,<p>Hibernate configuration controls the behavior of hibernate in an</p>,<p>TRUE</p>,<p>TRUE</p>,<p>FALSE</p>,
web301_q11,Which of the following is a valid property in a hibernate configuration?,All of the above,hibernate.dialect,hibernate.connection.url,show_sql,All of the above,
web301_q12,The property for dialect in hibernate configuration tells Hibernate which database is used,TRUE,TRUE,FALSE,
web301_q13,Application should add the required database driver jar files to the application for Hibernate to use them at runtime,TRUE,TRUE,FALSE,
web301_q14,<p>How are Associations between Hibernate entities realized in Database?</p>,<p>All of the Above</p>,<p>join queries</p>,<p>foreign keys</p>,<p>constraints</p>,<p>All of the Above</p>,
web301_q15,"<p>True or False. </p><p>In many cases, many-to-one relation implies parent child relation, where delete of parent object results in delete of clild.</p>",FALSE,TRUE,FALSE,
web301_q16,<p>What is the example of one-to-one relation?</p>,Book - BookInfo,Book - Author,Series - Book,Book - BookInfo,Author - Publisher,
web301_q17,<p>Why is cascade relationship applied between entities Book and Publication?</p>,"Publication is deleted, saved, when Book is deleted, saved respectively.",Publication is retrieved when Book is retrieved.,"Publication is deleted, saved, when Book is deleted, saved respectively.",Cascade is mandatory for one to one association.,All of the Above,
web301_q18,<p>Book has _mandatory_ association an Author. Meaning Book must have author.</p><p>Which hibernate option is used to specify this?</p>,not-null,not-null,lazy-load,cascade,None of the Above,
web301_q19,Following if the right convention of hibernate mapping file,<entity>.hbm.xml,hbm.<entity>.xml,<entity>.hbm.xml,hbm.<entity>.xls,<entity>.hbm.xls,
web301_q20,Primary key is defined in mapping file using:,id,generator,primary,id,none of these,
web301_q21,Non Nullable columns are defined in mapping file using following attribute,not-null,null,no-null,not-null,nullable,
web301_q22,Mapping file can have queries defined in it. True or false,TRUE,TRUE,FALSE,
web301_q23,generator type is specified using folloiwng attrbute of generator tag,class,generator,class,type,category,
web301_q24,The type attribute is mandatory for all column mappings,FALSE,TRUE,FALSE,
web301_q25,Hibernate mapping can be used to define custom data types also,TRUE,TRUE,FALSE,
web301_q26,"While creating SessionFactory in hibernate, which design pattern should be adopted?",Singleton,Singleton,Prototype,
web301_q27,Which property is used to configure diver class in hibernate?,hibernate.connection.driver_class,hibernate.connection.driver_class,hibernate.connection.datasource,hibernate.connection.driver,None of the above,
web301_q28,All the POJO must implement non-argument constructor in hibernate and the non-argument constructor need not be public,TRUE,TRUE,FALSE,
web301_q29,"If an entity (a class annotated with @Entity) is not annotated with @Table, what will happen?",No error and class name is mapped with table name,Throws error because no table name is assigned,No error and class name is mapped with table name,Hibernate ignores the class,None,
web301_q30,Choose the correct statement,Both 1 & 2,Hibernate is an ORM library for java language,Hibernate provides a mapping for object-oriented domain model to a traditional relational database,Both 1 & 2,None of the above,
web301_q31,HQL is used in,session.createQuery(),session.createQuery(),session.createCriteria(),session.createHQL(),session.createSQLQuery(),
web301_q32,What does hibernate.show_sql=true mean?,show sql statements on console,show sql parameters on console,show sql statements on console,do not show sql statements,none of the above,
web301_q33,What does session.load() return if there is no matching database row?,Throws an exception,NULL,Empty object,Throws an exception,None of the above,
web301_q34,What happens when both hibernate.properties and hibernate.cfg.xml are in the classpath?,The settings of XML configuration file will override the settings used in the properties,The settings of properties file will override the settings used in the XML configuration,The settings of XML configuration file will override the settings used in the properties,Duplicate configuration exception,None of the above,
web301_q35,What role does Session interface play in Hibernate?,"1,2,3",Wraps a JDBC connection,Factory for Transaction,"Holds a mandatory (first-level) cache of persistent objects, used when navigating the object graph or looking up objects by identifier","1,2","1,2,3",
web301_q36,Hibernate is compliant with,JPA,JMS,JPA,JMX,JSP,
web301_q37,What is the tool used to generate classes from hibernate configuration files,hbm2java,hbm2ddl,maven,hbm2java,ANT,
web301_q38,Hibernate supports following databases,All of the above,MySQL,Oracle,SQL server,All of the above,
web301_q39,Hibernate mappings can be specified in following ways,Annotations or XML,XML file,Annotation,Annotations or XML,None of these,
web301_q40,Hibernates maps POJOs to,tables,tables,columns,Class fields,Objects,
web301_q41,"In Hibernate, there is no constraint that all your table columns should be mapped with the entity class fields",TRUE,TRUE,FALSE,
web301_q42,What does a hibernate mapping file contain?,All of the above,Class to table mapping,Primary Key mapping,Each field to column mapping,All of the above,
web301_q43,Which of the following annotations is not a valid hibernate annotation?,@HibernateColumn,@Table,@Column,@HibernateColumn,@Id,
web301_q44,"In Hibernate, XML and Annotation do the same thing",TRUE,TRUE,FALSE,
web301_q45,Annotation mappings create an overhead of managing changes as the field and mappings are defined in different places,FALSE,TRUE,FALSE,
web301_q46,"With Annotation mappings, any change to mapping definitions require re-compilation of the entity classes",TRUE,TRUE,FALSE,
web301_q47,Which driver is efficient and always preferable for using JDBC applications?,Type 4,Type 4,Type 3,Type 2,Type 1,
web301_q48,Which driver is called as thin-driver in JDBC?,Type 4,Type 1,Type 2,Type 3,Type 4,
web301_q49,Which is the pure Java driver?,Type 4,Type 1,Type 2,Type 3,Type 4,
web301_q50,Which driver uses ODBC under the hood?,Type 1,Type 1,Type 2,Type 3,Type 4,
